fips,county,state,lat,long,date,cases,state_code,deaths
1001,Autauga,Alabama,32.53952745,-86.64408227,2021-01-30,5596,AL,69
1003,Baldwin,Alabama,30.72774991,-87.72207058,2021-01-30,17922,AL,224
1005,Barbour,Alabama,31.868263,-85.3871286,2021-01-30,1931,AL,40
1007,Bibb,Alabama,32.99642064,-87.1251146,2021-01-30,2284,AL,51
1009,Blount,Alabama,33.98210918,-86.56790593,2021-01-30,5655,AL,98
1011,Bullock,Alabama,32.10030533,-85.71265535,2021-01-30,1075,AL,29
1013,Butler,Alabama,31.75300095,-86.68057478,2021-01-30,1800,AL,60
1015,Calhoun,Alabama,33.77483727,-85.82630386,2021-01-30,11918,AL,232
1017,Chambers,Alabama,32.91360079,-85.39072749,2021-01-30,3174,AL,76
1019,Cherokee,Alabama,34.17805983,-85.60638968,2021-01-30,1688,AL,35
1021,Chilton,Alabama,32.85044126,-86.7173256,2021-01-30,3531,AL,79
1023,Choctaw,Alabama,32.02227341,-88.2656443,2021-01-30,530,AL,24
1025,Clarke,Alabama,31.68099859,-87.83548597,2021-01-30,3182,AL,38
1027,Clay,Alabama,33.26984193,-85.85836077,2021-01-30,1323,AL,50
1029,Cleburne,Alabama,33.67679204,-85.52005899,2021-01-30,1266,AL,28
1031,Coffee,Alabama,31.39932826,-85.98901039,2021-01-30,4857,AL,72
1033,Colbert,Alabama,34.69847452,-87.80168544,2021-01-30,5710,AL,104
1035,Conecuh,Alabama,31.43401703,-86.99320044,2021-01-30,1001,AL,23
1037,Coosa,Alabama,32.93690146,-86.24847739,2021-01-30,674,AL,19
1039,Covington,Alabama,31.2477854,-86.45050893,2021-01-30,3532,AL,87
1041,Crenshaw,Alabama,31.72941803,-86.31593104,2021-01-30,1293,AL,47
1043,Cullman,Alabama,34.13020303,-86.86888037,2021-01-30,8504,AL,147
1045,Dale,Alabama,31.43037123,-85.61095742,2021-01-30,4261,AL,98
1047,Dallas,Alabama,32.32688101,-87.1086671,2021-01-30,3195,AL,111
1049,DeKalb,Alabama,34.45946862,-85.80782906,2021-01-30,8089,AL,136
1051,Elmore,Alabama,32.59785413,-86.14415284,2021-01-30,8534,AL,132
1053,Escambia,Alabama,31.1256789,-87.15918694,2021-01-30,3492,AL,48
1055,Etowah,Alabama,34.04567266,-86.04051873,2021-01-30,12424,AL,240
1057,Fayette,Alabama,33.72076938,-87.73886638,2021-01-30,1848,AL,39
1059,Franklin,Alabama,34.44235334,-87.84289505,2021-01-30,3832,AL,55
